objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,Shape__Area,Shape__Length,GlobalID_2
28,28,54.36923613,2368323.92596,Community Park,CP,5,Brookline Memorial Park,Brookline Memorial Park,Brookline Memorial Park,Southern,9152.84161215,041dc569-0b41-4383-bed6-df92c7b07dca,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.41397994869904e-05,0.0311860240081893,fdf48eb1-425d-4094-b5c3-fb94b22248ca
29,29,0.09355187,4075.11954569,Beautification Site,BTF,5,Brookline Monument,Brookline Monument,Brookline Monument,Southern,301.24993005,db8866c6-e4e2-40cc-9b91-b6a61dbb8579,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,4th Division,4.01597387316442e-08,0.000999192859837584,d26d828c-4b88-485b-8614-ade569ad2bc0
30,30,4.40550692,191903.88143,Neighborhood Park,NP,9,Bud Hammer Playground,Bud Hammer Park,Bud Hammer Park,Schenley,2043.23793256,7af3c8fe-087a-4e37-af3e-03860275b96c,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.88311514575645e-06,0.00665495093346872,014ab724-d81a-4eeb-901c-fcc695dc8f93
31,31,6.79009821,295776.678203,Neighborhood Park,NP,9,Burgwin Playground,Burgwin Park,Burgwin Park,Schenley,2232.75902233,93e12c43-773c-47cb-82a3-91787e9bed98,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,2.9153824185144e-06,0.00724611670764576,5f911523-96fb-4935-bd6a-71ec5bc78c06
33,33,0.4754707,20711.5035732,Neighborhood Park,NP,1,Catalano Parklet,Catalano Park,Catalano Park,Northern,567.15573912,747d5630-9fcb-42d3-bd33-ba7774dee3cb,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,2.04314108880078e-07,0.00182337273781602,a9328de5-f687-43d6-b424-bf7fd7b54ac9
34,34,6.78546893,295575.026615,Neighborhood Park,NP,11,Chadwick Rec Center,Chadwick Park,Chadwick Park,Eastern,2425.2027917,ad00f128-3d9f-4bfd-93e9-98fe0d4241a4,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,2.91600219528082e-06,0.00774301646737589,b931c2f0-0373-4c86-8875-53c3b528598f
35,35,6.14843572,267825.860178,Neighborhood Park,NP,4,Chartiers Playground,Chartiers Park,Chartiers Park,Western,2197.20250399,3bd43bb8-9677-45be-8b89-7d05c1d78cf6,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,2.64192006405853e-06,0.00700561102911124,1a372fb4-351e-499b-8a26-d1a4321f72cf
36,36,1.11317138,48489.7454505,Neighborhood Park,NP,15,Cliffside Parklet,August Wilson Park,Cliffside Park,Schenley,1313.83264367,764d9a2f-719c-49c2-b747-8f276149bf04,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,4.78246808498118e-07,0.00412017925461562,a37517e3-214f-4e51-b168-21d95173fe7b
37,37,0.87432407,38085.5564686,Neighborhood Park,NP,7,Cobden St Bsktbl Ct,Cobden Street Park,Cobden St. Park,Southern,825.91850831,fb470340-f4f8-460a-8a16-f16e333573d9,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,3.75480133466942e-07,0.00271424263990518,0a6d7710-25a8-407d-bee6-2379da26beb5
38,38,4.22349565,183975.470373,Neighborhood Park,NP,1,Cowley Playground,Cowley Park,Cowley Park,Northern,1706.73971546,d8f9288e-6a5e-4640-8245-97a8c6a95248,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.81483110274063e-06,0.0055208181505784,1108adc1-b1a2-437f-99d2-ceec273ad142
